@relation bandeiracovid

@attribute casossem
@attribute casossemant
@attribute utisragsem
@attribute utisragsemant
@attribute paclei
@attribute pacleiant
@attribute pacuti
@attribute pacutiant
@attribute casospop real
@attribute obitpop real
@attribute leitos
@attribute ocupleitos
@attribute ocupenf
@attribute bandf

@dados
110,223,165,146,242,29,57,83,1847.46,5338.22,100, 97,53,2 
254,186,254,237,88,46,131,126,10828.14,16214.85,163, 67,37,3 
194,163,298,152,158,237,257,44,205.27,17149.04,125, 73,7,3 
136,58,224,140,145,242,138,20,8621.46,5404.95,78, 83,5,3 
167,297,266,269,249,200,205,134,4156.77,13078.65,236, 57,49,2 
119,225,2,110,291,288,121,177,2565.91,16081.40,19, 58,22,2 
11,76,183,244,261,217,6,257,6671.37,13078.65,297, 25,13,2 
107,115,256,92,208,119,95,198,13034.83,5338.22,36, 33,20,2 
85,65,270,46,110,271,66,14,5696.32,3736.76,57, 47,50,3 
112,142,220,24,98,145,27,242,2668.55,11744.09,132, 66,67,2 
66,235,81,6,275,168,29,80,12470.33,12811.74,127, 65,72,2 
260,145,274,89,20,260,112,286,6106.87,15881.21,126, 27,60,2 
146,160,42,61,166,285,7,24,11290.01,14947.02,153, 0,0,1 
72,232,83,271,273,135,21,217,10161.01,9408.62,104, 7,88,2 
163,78,103,93,91,215,139,217,12265.05,9275.16,24, 22,55,2 
251,115,131,28,157,128,42,248,8005.64,12678.28,33, 61,67,3 
47,110,2,295,135,128,233,64,14369.10,7740.42,266, 10,55,2 
151,288,299,263,62,89,58,211,11854.51,9942.44,146, 90,16,2 
68,247,46,115,26,280,119,139,9750.46,14079.56,15, 98,38,1 
258,60,297,256,81,192,218,275,4310.73,16148.13,219, 0,61,1 
171,270,170,164,179,269,16,160,5491.05,5538.41,78, 44,39,2 
149,193,143,276,97,183,125,270,14009.87,11277.00,130, 76,93,3 
233,196,133,281,205,269,57,32,6671.37,18350.14,198, 13,78,2 
213,14,50,185,235,31,197,43,13137.46,2602.38,27, 59,19,3 
225,265,238,264,81,251,221,232,4105.46,1267.83,25, 95,87,1 
45,262,218,165,58,230,154,232,2463.27,10809.90,35, 60,74,2 
213,231,226,236,194,93,111,292,14779.64,2135.29,287, 14,45,2 
27,229,105,219,180,72,209,244,4567.32,1201.10,255, 96,79,2 
36,110,276,80,45,51,255,6,8262.23,16615.22,258, 2,24,1 
180,256,213,59,240,7,196,98,9647.82,12011.00,223, 27,46,3 
244,14,84,269,230,135,113,193,4567.32,15147.21,109, 6,29,2 
121,91,35,147,87,106,32,231,1590.86,17749.59,111, 50,0,2 
149,273,263,267,190,260,168,182,11084.73,4737.67,58, 99,5,1 
33,93,221,38,142,259,31,226,6209.50,11210.27,239, 65,96,3 
286,259,238,8,18,144,298,173,6106.87,7940.61,93, 54,32,3 
212,272,286,163,126,259,218,74,10725.51,5271.50,118, 27,1,2 
146,162,220,193,148,235,283,104,923.73,13879.38,134, 38,55,2 
50,145,152,249,159,266,197,187,7030.59,5071.31,18, 99,11,2 
92,223,73,255,125,88,80,69,4259.41,9475.35,118, 11,27,2 
192,169,293,297,16,68,70,6,11803.19,1801.65,126, 98,5,2 
103,9,96,264,42,5,118,215,14984.92,8541.16,174, 88,56,2 
46,244,182,79,87,103,223,15,7903.00,14947.02,41, 34,78,2 
84,40,232,202,290,134,191,219,14882.28,13479.01,150, 43,49,3 
278,110,157,78,144,69,196,199,14574.37,11810.82,177, 8,70,3 
202,214,122,260,79,254,151,286,7800.37,17816.32,36, 78,18,1 
63,105,126,2,151,52,183,258,2822.50,11543.91,98, 52,75,2 
36,161,81,257,112,234,87,89,14317.78,8474.43,132, 43,71,1 
113,59,44,297,167,208,169,92,1693.50,8274.25,5, 32,0,2 
248,89,99,127,163,42,265,167,11597.92,4337.31,223, 92,30,3 
91,120,168,197,59,69,194,151,9134.64,5605.13,140, 76,58,2 
80,174,146,123,28,293,144,7,12983.51,4337.31,236, 17,93,3 
182,104,158,263,91,113,212,10,12572.96,2001.83,195, 45,57,2 
164,293,7,299,97,116,295,7,11803.19,16948.86,130, 10,52,2 
25,5,67,20,232,116,85,264,10520.23,13946.11,231, 61,17,3 
250,115,235,44,287,45,27,39,5337.09,8074.06,143, 29,5,3 
229,263,235,54,208,65,46,172,10212.32,5605.13,141, 33,69,2 
209,103,79,217,229,165,209,190,12470.33,12077.73,176, 20,84,3 
7,225,183,30,242,279,94,27,2411.96,11877.55,122, 11,52,2 
107,141,298,245,79,84,240,57,3233.05,4604.22,62, 38,4,2 
204,157,133,132,52,2,67,166,11546.60,2068.56,130, 90,98,3 
195,170,71,70,177,176,280,85,6927.96,12678.28,48, 52,89,3 
204,34,298,272,65,107,163,202,15087.55,9875.71,70, 35,84,2 
