@relation segurançaruas

@attribute densmov real
@attribute curves real
@attribute inclination real
@attribute clima real
@attribute score real

@data
0.874,0.348,0.593,1,6 
0.305,0.564,0.732,0,9 
0.102,0.533,0.371,0,3 
0.439,0.047,0.576,2,3 
0.545,0.903,0.268,3,0 
0.992,0.237,0.541,0,4 
0.791,0.313,0.425,2,5 
0.032,0.161,0.170,0,3 
0.595,0.692,0.529,2,4 
0.530,0.498,0.445,0,5 
0.700,0.218,0.403,1,6 
0.259,0.083,0.731,0,1 
0.929,0.308,0.181,3,1 
0.313,0.034,0.284,0,0 
0.482,0.945,0.748,0,8 
0.771,0.254,0.271,0,1 
0.803,0.393,0.566,3,2 
0.918,0.299,0.626,3,0 
0.975,0.799,0.591,3,8 
0.563,0.205,0.139,1,2 
0.659,0.755,0.359,2,0 
0.475,0.538,0.341,3,3 
0.097,0.633,0.042,0,3 
0.823,0.152,0.857,1,1 
0.930,0.582,0.033,1,3 
0.053,0.746,0.331,3,0 
0.468,0.610,0.052,3,2 
0.744,0.677,0.691,3,6 
0.958,0.310,0.389,2,1 
0.096,0.488,0.702,2,10 
0.168,0.551,0.476,0,7 
0.587,0.662,0.492,3,6 
0.691,0.160,0.072,0,3 
0.441,0.980,0.155,0,3 
0.535,0.165,0.509,2,5 
0.784,0.114,0.835,2,9 
0.313,0.876,0.473,2,4 
0.939,0.325,0.881,1,9 
0.413,0.939,0.147,1,1 
0.349,0.051,0.988,3,2 
0.452,0.710,0.909,2,1 
0.232,0.337,0.735,1,3 
0.747,0.964,0.833,0,10 
0.386,0.102,0.742,2,0 
0.150,0.163,0.518,2,1 
0.692,0.831,0.983,2,10 
0.944,0.483,0.938,0,1 
0.978,0.970,0.632,1,4 
0.213,0.532,0.744,3,1 
0.069,0.803,0.383,3,1 
0.901,0.441,0.231,0,2 
0.225,0.432,0.587,1,4 
0.136,0.785,0.838,3,8 
0.879,0.403,0.900,2,10 
0.097,0.818,0.011,2,0 
0.736,0.006,0.529,2,5 
0.225,0.799,0.275,0,2 
0.055,0.099,0.833,1,2 
0.673,0.027,0.035,2,3 
0.327,0.968,0.960,2,9 
0.102,0.486,0.490,0,6 
0.897,0.949,0.620,1,4 
0.891,0.156,0.917,1,1 
0.228,0.856,0.073,3,0 
0.225,0.848,0.844,3,9 
0.857,0.383,0.126,2,1 
0.884,0.343,0.138,3,1 
0.574,0.128,0.401,3,1 
0.596,0.485,0.227,2,5 
0.177,0.401,0.673,0,4 
0.108,0.045,0.337,0,1 
0.459,0.128,0.553,1,0 
0.303,0.587,0.200,2,0 
0.928,0.588,0.611,2,4 
0.393,0.516,0.036,1,2 
0.333,0.005,0.061,1,2 
0.059,0.948,0.083,1,0 
0.466,0.866,0.698,2,5 
0.004,0.239,0.443,3,3 
0.032,0.769,0.867,2,8 
0.388,0.028,0.900,0,3 
0.849,0.374,0.076,1,2 
0.620,0.620,0.510,1,7 
0.209,0.100,0.486,3,0 
0.624,0.589,0.578,1,5 
0.237,0.392,0.131,0,3 
0.635,0.711,0.886,1,8 
0.462,0.113,0.374,3,1 
0.362,0.953,0.323,2,3 
0.809,0.713,1.000,2,8 
0.687,0.245,0.926,2,8 
